Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
108295,"Gay New York: Gender, Urban Culture, and the Making of the Gay Male World 1890-1940",George Chauncey,"Chauncey, George",,"=""0465026214""","=""9780465026210""",4,4.21,Basic Books,Paperback,496,1995,1994,,2019/11/01,,,read,,,,1,,,0,,,,,
40265834,"The Source of Self-Regard: Selected Essays, Speeches, and Meditations",Toni Morrison,"Morrison, Toni",,"=""0525521038""","=""9780525521037""",2,4.23,Knopf Publishing Group,Hardcover,354,2019,2019,,2019/06/15,,,read,,,,1,,,0,,,,,
45894103,What's Your Pronoun?: Beyond He and She,Dennis Baron,"Baron, Dennis",,"=""1631496042""","=""9781631496042""",0,3.67,Liveright,Hardcover,304,2020,2020,,2019/10/28,to-read,to-read (#219),to-read,,,,0,,,0,,,,,
45201472,The Beautiful Ones,Prince,"Prince, Prince",Dan Piepenbring,"=""0399589651""","=""9780399589652""",0,4.08,Spiegel & Grau ,Hardcover,288,2019,2019,,2019/10/26,to-read,to-read (#218),to-read,,,,0,,,0,,,,,
41824023,Over the Top: A Raw Journey to Self-Love,Jonathan Van Ness,"Ness, Jonathan Van",,"=""0062906402""","=""9780062906403""",2,4.39,HarperAudio,Audiobook,400,2019,2019,,2019/10/26,,,read,,,,1,,,0,,,,,
39999461,Never Enough: The Neuroscience and Experience of Addiction,Judith Grisel,"Grisel, Judith",,"=""0385542844""","=""9780385542845""",4,4.08,Doubleday Books,Hardcover,256,2019,2019,,2019/10/25,,,read,,,,1,,,0,,,,,
44145382,"Mud and Stars: Travels in Russia with Pushkin, Tolstoy, and Other Geniuses of the Golden Age",Sara Wheeler,"Wheeler, Sara",,"=""1524748013""","=""9781524748012""",0,4.00,Pantheon Books,Hardcover,304,2019,,,2019/10/24,to-read,to-read (#217),to-read,,,,0,,,0,,,,,
44285661,Hurricanes: A Memoir,Rick  Ross,"Ross, Rick",Neil Martinez-Belkin,"=""""","=""""",2,4.09,Hanover Square Press,Kindle Edition,288,2019,2019,,2019/10/24,,,read,,,,2,,,0,,,,,
15797326,Zoobiquity: The Astonishing Connection Between Human and Animal Health,Barbara Natterson-Horowitz,"Natterson-Horowitz, Barbara",Kathryn Bowers,"=""0307477436""","=""9780307477439""",5,4.08,Vintage,Paperback,416,2013,2012,,2018/04/27,recommendations,recommendations (#47),read,,,,1,,,0,,,,,
44595007,Indistractable: How to Control Your Attention and Choose Your Life,Nir   Eyal,"Eyal, Nir",Julie Li,"=""194883653X""","=""9781948836531""",0,3.95,Benbella Books,Hardcover,273,2019,2019,,2019/10/21,to-read,to-read (#216),to-read,,,,0,,,0,,,,,
