,ISBN13,Title,Author,My Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Added,Private Notes,recommended
0,9780465026210,"Gay New York: Gender, Urban Culture, and the Making of the Gay Male World 1890-1940",George Chauncey,4,Basic Books,496.0,1995.0,1994.0,2019-11-01,,False
1,9780525521037,"The Source of Self-Regard: Selected Essays, Speeches, and Meditations",Toni Morrison,2,Knopf Publishing Group,354.0,2019.0,2019.0,2019-06-15,,False
4,9780062906403,Over the Top: A Raw Journey to Self-Love,Jonathan Van Ness,2,HarperAudio,400.0,2019.0,2019.0,2019-10-26,,False
5,9780385542845,Never Enough: The Neuroscience and Experience of Addiction,Judith Grisel,4,Doubleday Books,256.0,2019.0,2019.0,2019-10-25,,False
7,,Hurricanes: A Memoir,Rick  Ross,2,Hanover Square Press,288.0,2019.0,2019.0,2019-10-24,,False
8,9780307477439,Zoobiquity: The Astonishing Connection Between Human and Animal Health,Barbara Natterson-Horowitz,5,Vintage,416.0,2013.0,2012.0,2018-04-27,,True
11,9781250147608,Me,Elton John,3,Henry Holt & Company,352.0,2019.0,2019.0,2019-10-19,,False
13,9781846045097,The Art of Living,Thich Nhat Hanh,5,Rider,224.0,2017.0,2017.0,2019-10-18,,True
14,9781501132735,How We Fight For Our Lives,Saeed Jones,1,Simon and Schuster,192.0,2019.0,2019.0,2019-10-17,,False
15,,Gender and Our Brains: How New Neuroscience Explodes the Myths of the Male and Female Minds,Gina Rippon,4,Pantheon,448.0,2019.0,2019.0,2019-10-17,,False
16,9781405204279,The Te of Piglet,Benjamin Hoff,2,Egmont Childrens Books,257.0,2003.0,1992.0,2018-08-09,philosophy,False
17,9780544086616,The Evil Hours: A Biography of Post-Traumatic Stress Disorder,David J. Morris,3,Eamon Dolan/Houghton Mifflin Harcourt,352.0,2015.0,2015.0,2018-09-12,"sociology, psychology",False
18,9781594487712,Where Good Ideas Come from: The Natural History of Innovation,Steven Johnson,4,Riverhead Books,326.0,2010.0,2010.0,2018-09-17,"history, sociology",False
19,9780195181920,When Languages Die: The Extinction of the World's Languages and the Erosion of Human Knowledge,K. David Harrison,5,"Oxford University Press, USA",304.0,2007.0,2007.0,2018-08-11,"history, sociology, linguistics, current events",False
20,9781592406524,Just My Type: A Book About Fonts,Simon Garfield,3,Gotham,384.0,2011.0,2010.0,2018-09-20,"history, books",False
21,9780192862020,The Crucible of Creation: The Burgess Shale and the Rise of Animals,Simon Conway Morris,2,"Oxford University Press, USA",276.0,2000.0,,2018-08-11,"history, evolution",False
22,9780525949695,This Is Your Brain on Music: The Science of a Human Obsession,Daniel J. Levitin,4,Dutton Adult,314.0,2006.0,2006.0,2018-09-22,"psychology, human biology, music",False
23,9780393076028,Brain Bugs: How the Brain's Flaws Shape Our Lives,Dean Buonomano,4,W. W. Norton & Company,310.0,2011.0,2011.0,2018-09-23,"psychology, sociology, human biology",True
24,9781594201400,Listening Is an Act of Love: A Celebration of American Life from the StoryCorps Project,Dave Isay,3,"Penguin Press HC, The",284.0,2007.0,2007.0,2018-09-24,"memoir, collection",False
25,9781622313884,People We Meet: Unforgettable Conversations,National Public Radio,4,HighBridge Company,3.0,2014.0,2014.0,2018-09-24,"memoir, collection",False
26,9780195175004,The Meaning of Everything: The Story of the Oxford English Dictionary,Simon Winchester,4,"Oxford University Press, USA",288.0,2004.0,2003.0,2018-09-27,"history, books",False
27,9780307263612,Horseshoe Crabs and Velvet Worms: The Story of the Animals and Plants That Time Has Left Behind,Richard Fortey,5,Knopf,332.0,2012.0,2011.0,2018-08-11,"history, evolution",False
28,9781631494406,"How Do We Look: The Body, the Divine, and the Question of Civilization",Mary Beard,4,Liveright,240.0,2018.0,2018.0,2018-06-27,"history, sociology",False
29,9781503604131,Jaws: The Story of a Hidden Epidemic,Sandra Kahn,2,Stanford University Press,216.0,2018.0,2018.0,2018-06-11,human biology,False
30,9780786703821,Scott's Last Expedition: The Journals,Robert Falcon Scott,4,Basic Books,442.0,1996.0,1913.0,2018-10-01,"history, memoir",False
31,9780060936389,Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe,Laurence Bergreen,1,William Morrow Paperbacks,438.0,2004.0,2003.0,2018-10-03,"history, biography",False
32,9780060838591,"Krakatoa: The Day the World Exploded: August 27, 1883",Simon Winchester,3,Harper Perennial,464.0,2005.0,2003.0,2018-10-05,"history, environment",False
33,9780525954187,The Organized Mind: Thinking Straight in the Age of Information Overload,Daniel J. Levitin,3,Dutton,528.0,2014.0,2014.0,2018-10-10,"psychology, human biology",False
34,9781101870327,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,1,Pantheon Books,335.0,2018.0,2018.0,2018-10-13,"human biology, evolution",True
35,9780316200592,"The Witches: Salem, 1692",Stacy Schiff,1,Back Bay Books,512.0,2016.0,2015.0,2018-10-12,history,False
36,9781984822581,Always Look on the Bright Side of Life: A Sortabiography,Eric Idle,1,Crown Archetype,290.0,2018.0,2018.0,2018-08-17,memoir,False
37,9780446580267,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,3,Twelve,335.0,2008.0,2008.0,2018-10-20,memoir,False
